"filename", "language", "Properties", "JSON with Comments", "TypeScript", "JSON", "Solidity", "JavaScript", "TypeScript JSX", "CSS", "Markdown", "Git Commit Message", "comment", "blank", "total"
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC20\ERC20.sol\ERC20.json", "JSON", 0, 0, 0, 277, 0, 0, 0, 0, 0, 0, 0, 1, 278
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC20\IERC20.sol\IERC20.dbg.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC20\IERC20.sol\IERC20.json", "JSON", 0, 0, 0, 215, 0, 0, 0, 0, 0, 0, 0, 1, 216
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\ERC20.sol\ERC20.dbg.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\ERC20.sol\ERC20.json", "JSON", 0, 0, 0, 297, 0, 0, 0, 0, 0, 0, 0, 1, 298
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\ERC20Permit.sol\ERC20Permit.dbg.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\ERC20Permit.sol\ERC20Permit.json", "JSON", 0, 0, 0, 447, 0, 0, 0, 0, 0, 0, 0, 1, 448
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\IERC20.sol\IERC20.dbg.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\IERC20.sol\IERC20.json", "JSON", 0, 0, 0, 194, 0, 0, 0, 0, 0, 0, 0, 1, 195
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\IERC20Metadata.sol\IERC20Metadata.dbg.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\IERC20Metadata.sol\IERC20Metadata.json", "JSON", 0, 0, 0, 233, 0, 0, 0, 0, 0, 0, 0, 1, 234
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\IERC20Permit.sol\IERC20Permit.dbg.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\IERC20Permit.sol\IERC20Permit.json", "JSON", 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 1, 87
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\IERC5267.sol\IERC5267.dbg.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\IERC5267.sol\IERC5267.json", "JSON", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 1, 61
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\MyToken.sol\MyToken.dbg.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\MyToken.sol\MyToken.json", "JSON", 0, 0, 0, 470, 0, 0, 0, 0, 0, 0, 0, 1, 471
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\Proxy.sol\Proxy.dbg.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\Proxy.sol\Proxy.json", "JSON", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 1, 60
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\crypto\ECDSA.sol\ECDSA.dbg.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
